numColumn,threshold,numRecord,seed,time
1024,10000,1024,27616,2510
1024,10000,1024,20064,2538
1024,10000,1024,19443,2507
1024,10000,1024,22000,2496
1024,10000,1024,6667,2535
1024,10000,1024,10484,2425
1024,10000,1024,9784,2504
1024,10000,1024,15714,2458
1024,10000,1024,25652,2415
1024,10000,1024,7992,2508
1024,10000,1024,17011,2528
1024,10000,1024,29666,2442
1024,10000,1024,1634,2462
1024,10000,1024,12774,2560
1024,10000,1024,16387,2466
1024,10000,1024,30372,2852
1024,10000,1024,14088,2454
1024,10000,1024,29557,2481
1024,10000,1024,1557,2434
1024,10000,1024,29809,2418
1024,10000,1024,31961,2540
1024,10000,2048,27616,5196
1024,10000,2048,20064,5233
1024,10000,2048,19443,5356
1024,10000,2048,22000,5167
1024,10000,2048,6667,5213
1024,10000,2048,10484,5238
1024,10000,2048,9784,5166
1024,10000,2048,15714,5195
1024,10000,2048,25652,5831
1024,10000,2048,7992,5192
1024,10000,2048,17011,5144
1024,10000,2048,29666,5245
1024,10000,2048,1634,5223
1024,10000,2048,12774,5170
1024,10000,2048,16387,5286
1024,10000,2048,30372,5299
1024,10000,2048,14088,5136
1024,10000,2048,29557,5317
1024,10000,2048,1557,5148
1024,10000,2048,29809,5338
1024,10000,2048,31961,5293
1024,10000,4096,27616,9456
1024,10000,4096,20064,9688
1024,10000,4096,19443,9456
1024,10000,4096,22000,9260
1024,10000,4096,6667,9796
1024,10000,4096,10484,9563
1024,10000,4096,9784,9631
1024,10000,4096,15714,9363
1024,10000,4096,25652,9387
1024,10000,4096,7992,9249
1024,10000,4096,17011,9677
1024,10000,4096,29666,9145
1024,10000,4096,1634,9673
1024,10000,4096,12774,9330
1024,10000,4096,16387,9140
1024,10000,4096,30372,9323
1024,10000,4096,14088,9280
1024,10000,4096,29557,9296
1024,10000,4096,1557,9569
1024,10000,4096,29809,9155
1024,10000,4096,31961,9681
1024,10000,8192,27616,14811
1024,10000,8192,20064,14722
1024,10000,8192,19443,15125
1024,10000,8192,22000,14945
1024,10000,8192,6667,16170
1024,10000,8192,10484,15163
1024,10000,8192,9784,15109
1024,10000,8192,15714,14796
1024,10000,8192,25652,14741
1024,10000,8192,7992,14719
1024,10000,8192,17011,15220
1024,10000,8192,29666,14925
1024,10000,8192,1634,14913
1024,10000,8192,12774,15396
1024,10000,8192,16387,15546
1024,10000,8192,30372,15158
1024,10000,8192,14088,15069
1024,10000,8192,29557,15516
1024,10000,8192,1557,15141
1024,10000,8192,29809,14948
1024,10000,8192,31961,14725
1024,10000,16384,27616,19882
1024,10000,16384,20064,19604
1024,10000,16384,19443,19654
1024,10000,16384,22000,21836
1024,10000,16384,6667,20054
1024,10000,16384,10484,20962
1024,10000,16384,9784,19633
1024,10000,16384,15714,19540
1024,10000,16384,25652,19431
1024,10000,16384,7992,20135
1024,10000,16384,17011,20060
1024,10000,16384,29666,19884
1024,10000,16384,1634,20316
1024,10000,16384,12774,20368
1024,10000,16384,16387,20557
1024,10000,16384,30372,20464
1024,10000,16384,14088,20113
1024,10000,16384,29557,19942
1024,10000,16384,1557,20133
1024,10000,16384,29809,20757
1024,10000,16384,31961,20273
1024,10000,32768,27616,52557
1024,10000,32768,20064,51276
1024,10000,32768,19443,51389
1024,10000,32768,22000,51960
1024,10000,32768,6667,51584
1024,10000,32768,10484,51518
1024,10000,32768,9784,51367
1024,10000,32768,15714,50655
1024,10000,32768,25652,50428
1024,10000,32768,7992,50276
1024,10000,32768,17011,50643
1024,10000,32768,29666,50282
1024,10000,32768,1634,50295
1024,10000,32768,12774,50299
1024,10000,32768,16387,49557
1024,10000,32768,30372,49746
1024,10000,32768,14088,50634
1024,10000,32768,29557,49957
1024,10000,32768,1557,49897
1024,10000,32768,29809,50272
1024,10000,32768,31961,49908
1024,10000,65536,27616,87749
1024,10000,65536,20064,87211
1024,10000,65536,19443,87690
1024,10000,65536,22000,88370
1024,10000,65536,6667,87909
1024,10000,65536,10484,87607
1024,10000,65536,9784,90888
1024,10000,65536,15714,88889
1024,10000,65536,25652,87853
1024,10000,65536,7992,87965
1024,10000,65536,17011,89088
1024,10000,65536,29666,91794
1024,10000,65536,1634,86873
1024,10000,65536,12774,88781
1024,10000,65536,16387,88057
1024,10000,65536,30372,86891
1024,10000,65536,14088,88639
1024,10000,65536,29557,87743
1024,10000,65536,1557,86182
1024,10000,65536,29809,91195
1024,10000,65536,31961,87185
1024,10000,131072,27616,121760
1024,10000,131072,20064,122959
1024,10000,131072,19443,122069
1024,10000,131072,22000,123133
1024,10000,131072,6667,121629
1024,10000,131072,10484,122208
1024,10000,131072,9784,123016
1024,10000,131072,15714,122813
1024,10000,131072,25652,120157
1024,10000,131072,7992,122144
1024,10000,131072,17011,120534
1024,10000,131072,29666,121331
1024,10000,131072,1634,120342
1024,10000,131072,12774,123830
1024,10000,131072,16387,121401
1024,10000,131072,30372,123391
1024,10000,131072,14088,124932
1024,10000,131072,29557,124735
1024,10000,131072,1557,124476
1024,10000,131072,29809,125408
1024,10000,131072,31961,121032
1024,10000,262144,27616,129393
1024,10000,262144,20064,129293
1024,10000,262144,19443,128794
1024,10000,262144,22000,128067
1024,10000,262144,6667,129527
1024,10000,262144,10484,127504
1024,10000,262144,9784,128691
1024,10000,262144,15714,127331
1024,10000,262144,25652,128780
1024,10000,262144,7992,130681
1024,10000,262144,17011,127446
1024,10000,262144,29666,127816
1024,10000,262144,1634,129239
1024,10000,262144,12774,132136
1024,10000,262144,16387,129906
1024,10000,262144,30372,128951
1024,10000,262144,14088,128662
1024,10000,262144,29557,127594
1024,10000,262144,1557,127028
1024,10000,262144,29809,127153
1024,10000,262144,31961,128716
1024,10000,524288,27616,142330
1024,10000,524288,20064,141439
1024,10000,524288,19443,146859
1024,10000,524288,22000,141312
1024,10000,524288,6667,142239
1024,10000,524288,10484,141149
1024,10000,524288,9784,142097
1024,10000,524288,15714,143518
1024,10000,524288,25652,142088
1024,10000,524288,7992,145320
1024,10000,524288,17011,142751
1024,10000,524288,29666,144226
1024,10000,524288,1634,146306
1024,10000,524288,12774,146679
1024,10000,524288,16387,144930
1024,10000,524288,30372,142988
1024,10000,524288,14088,143036
1024,10000,524288,29557,143967
1024,10000,524288,1557,141643
1024,10000,524288,29809,141858
1024,10000,524288,31961,143020
1024,10000,1048576,27616,169532
1024,10000,1048576,20064,168930
1024,10000,1048576,19443,169006
1024,10000,1048576,22000,169156
1024,10000,1048576,6667,169356
1024,10000,1048576,10484,169726
1024,10000,1048576,9784,167482
1024,10000,1048576,15714,169392
1024,10000,1048576,25652,169477
1024,10000,1048576,7992,172142
1024,10000,1048576,17011,169040
1024,10000,1048576,29666,168063
1024,10000,1048576,1634,171832
1024,10000,1048576,12774,169114
1024,10000,1048576,16387,168260
1024,10000,1048576,30372,167931
1024,10000,1048576,14088,163353
1024,10000,1048576,29557,154508
1024,10000,1048576,1557,159387
1024,10000,1048576,29809,159374
1024,10000,1048576,31961,161770
1024,10000,2097152,27616,226608
1024,10000,2097152,20064,232887
1024,10000,2097152,19443,242577
1024,10000,2097152,22000,230112
1024,10000,2097152,6667,212534
1024,10000,2097152,10484,228114
1024,10000,2097152,9784,222658
1024,10000,2097152,15714,210287
1024,10000,2097152,25652,218000
1024,10000,2097152,7992,220806
1024,10000,2097152,17011,210909
1024,10000,2097152,29666,214931
1024,10000,2097152,1634,220350
1024,10000,2097152,12774,215582
1024,10000,2097152,16387,218956
1024,10000,2097152,30372,222625
1024,10000,2097152,14088,214084
1024,10000,2097152,29557,212098
