numColumn,threshold,seed,time
600,10000,2835,1191981
600,10000,6008,1178720
600,10000,12200,1161802
600,10000,5295,1143849
600,10000,27590,1232806
600,10000,26415,1068414
600,10000,31063,1137926
600,10000,25188,1121508
600,10000,668,1139058
600,10000,8711,1086331
600,10000,19709,1054145
600,10000,21549,1128430
600,10000,31579,1144815
600,10000,4293,1177021
600,10000,11290,1109156
600,10000,4627,974101
600,10000,6194,1096201
600,10000,32229,1211215
600,10000,17416,1027348
600,10000,11674,1135874
600,10000,6116,1057474
800,10000,2835,1456515
800,10000,6008,1362844
800,10000,12200,1382283
800,10000,5295,1373656
800,10000,27590,1325189
800,10000,26415,1277766
800,10000,31063,1300686
800,10000,25188,1324155
800,10000,668,1360650
800,10000,8711,1371531
800,10000,19709,1238008
800,10000,21549,1277328
800,10000,31579,1363894
800,10000,4293,1342550
800,10000,11290,1330750
800,10000,4627,1191777
800,10000,6194,1386197
800,10000,32229,1433943
800,10000,17416,1226792
800,10000,11674,1419641
800,10000,6116,1229883
1000,10000,2835,1654326
1000,10000,6008,1559748
1000,10000,12200,1630857
1000,10000,5295,1575015
1000,10000,27590,1546932
1000,10000,26415,1556194
1000,10000,31063,1530544
1000,10000,25188,1523560
1000,10000,668,1559161
1000,10000,8711,1601256
1000,10000,19709,1503267
1000,10000,21549,1499973
1000,10000,31579,1562072
1000,10000,4293,1528723
1000,10000,11290,1577179
1000,10000,4627,1321913
1000,10000,6194,1572882
1000,10000,32229,1566875
1000,10000,17416,1480032
1000,10000,11674,1638759
1000,10000,6116,1427166
1200,10000,2835,1807769
1200,10000,6008,1773100
1200,10000,12200,1711205
1200,10000,5295,1679806
1200,10000,27590,1653008
1200,10000,26415,1623748
1200,10000,31063,1675069
1200,10000,25188,1683180
1200,10000,668,1760310
1200,10000,8711,1666075
1200,10000,19709,1680188
1200,10000,21549,1618694
1200,10000,31579,1685799
1200,10000,4293,1715633
1200,10000,11290,1698970
1200,10000,4627,1472141
1200,10000,6194,1643687
1200,10000,32229,1797817
1200,10000,17416,1543600
1200,10000,11674,1759137
1200,10000,6116,1617333
1400,10000,2835,1972846
1400,10000,6008,1914030
1400,10000,12200,1845846
1400,10000,5295,1987675
1400,10000,27590,1959564
1400,10000,26415,1896326
1400,10000,31063,1857993
1400,10000,25188,1897277
1400,10000,668,1966922
1400,10000,8711,1893601
1400,10000,19709,1911841
1400,10000,21549,1855820
1400,10000,31579,1956064
1400,10000,4293,1919770
1400,10000,11290,1877343
1400,10000,4627,1637831
1400,10000,6194,1981874
1400,10000,32229,1858999
1400,10000,17416,1713561
1400,10000,11674,2025276
1400,10000,6116,1753400
1600,10000,2835,2284785
1600,10000,6008,2235781
1600,10000,12200,2273765
1600,10000,5295,2163952
1600,10000,27590,2206651
1600,10000,26415,2150883
1600,10000,31063,2081779
1600,10000,25188,2094704
1600,10000,668,2148132
1600,10000,8711,2223493
1600,10000,19709,2102824
1600,10000,21549,1985911
1600,10000,31579,2169684
1600,10000,4293,2097807
1600,10000,11290,2252315
1600,10000,4627,1822516
1600,10000,6194,2174180
1600,10000,32229,2198259
1600,10000,17416,1945633
1600,10000,11674,2238744
1600,10000,6116,1983762
1800,10000,2835,2301883
1800,10000,6008,2297768
1800,10000,12200,2307771
1800,10000,5295,2218038
1800,10000,27590,2180858
1800,10000,26415,2194889
1800,10000,31063,2237441
1800,10000,25188,2266246
1800,10000,668,2416130
1800,10000,8711,2272316
1800,10000,19709,2336652
1800,10000,21549,2167118
1800,10000,31579,2210076
1800,10000,4293,2057935
1800,10000,11290,2191574
1800,10000,4627,1915267
1800,10000,6194,2117440
1800,10000,32229,2307971
1800,10000,17416,2150506
1800,10000,11674,2321304
1800,10000,6116,2257448
2000,10000,2835,2644968
2000,10000,6008,2581489
2000,10000,12200,2679177
2000,10000,5295,2629258
2000,10000,27590,2673745
2000,10000,26415,2645625
2000,10000,31063,2551273
2000,10000,25188,2481548
2000,10000,668,2600114
2000,10000,8711,2723511
2000,10000,19709,2614979
2000,10000,21549,2431040
2000,10000,31579,2612727
2000,10000,4293,2489507
2000,10000,11290,2784023
2000,10000,4627,2123966
2000,10000,6194,2635375
2000,10000,32229,2621095
2000,10000,17416,2343363
2000,10000,11674,2702290
2000,10000,6116,2406602
2200,10000,2835,2755652
2200,10000,6008,2562659
2200,10000,12200,2802387
2200,10000,5295,2836720
2200,10000,27590,2928570
2200,10000,26415,2921623
2200,10000,31063,2789507
2200,10000,25188,2643137
2200,10000,668,2646068
2200,10000,8711,2649819
2200,10000,19709,2887715
2200,10000,21549,2583702
2200,10000,31579,2835241
2200,10000,4293,2612378
2200,10000,11290,2771027
2200,10000,4627,2324161
2200,10000,6194,2526070
2200,10000,32229,2877566
2200,10000,17416,2609147
2200,10000,11674,2911983
2200,10000,6116,2664883
2400,10000,2835,2918305
2400,10000,6008,2865774
2400,10000,12200,2818915
2400,10000,5295,2746352
2400,10000,27590,2896001
2400,10000,26415,2903725
2400,10000,31063,2732805
2400,10000,25188,2766295
2400,10000,668,3054910
2400,10000,8711,2932101
2400,10000,19709,3080400
2400,10000,21549,2652249
2400,10000,31579,2769829
2400,10000,4293,2685202
2400,10000,11290,2872601
2400,10000,4627,2437338
2400,10000,6194,2665241
2400,10000,32229,2995551
2400,10000,17416,2706715
2400,10000,11674,3001800
2400,10000,6116,2833738
2600,10000,2835,3301878
2600,10000,6008,3199546
2600,10000,12200,3397383
2600,10000,5295,3354230
2600,10000,27590,3441567
2600,10000,26415,3470471
2600,10000,31063,2902621
2600,10000,25188,3061282
2600,10000,668,3330390
2600,10000,8711,3476519
2600,10000,19709,3386772
2600,10000,21549,3065363
2600,10000,31579,3193094
2600,10000,4293,2983433
2600,10000,11290,3616516
2600,10000,4627,2614900
2600,10000,6194,2944382
2600,10000,32229,2976502
2600,10000,17416,3064190
2600,10000,11674,3442821
2600,10000,6116,3131839
2800,10000,2835,3388310
2800,10000,6008,3450432
2800,10000,12200,3174558
2800,10000,5295,3574312
2800,10000,27590,3689074
2800,10000,26415,3435354
2800,10000,31063,3081701
2800,10000,25188,3243178
2800,10000,668,3530597
2800,10000,8711,3272264
2800,10000,19709,3593205
2800,10000,21549,3213253
2800,10000,31579,3556754
2800,10000,4293,3258875
2800,10000,11290,3473484
2800,10000,4627,2808276
2800,10000,6194,3543339
2800,10000,32229,3208653
2800,10000,17416,2876206
2800,10000,11674,3685165
2800,10000,6116,2915190
3000,10000,2835,3543054
3000,10000,6008,3498329
3000,10000,12200,3477919
3000,10000,5295,3348763
3000,10000,27590,3587844
3000,10000,26415,3635671
3000,10000,31063,3398964
3000,10000,25188,3378487
3000,10000,668,3763939
3000,10000,8711,3562589
3000,10000,19709,3906927
3000,10000,21549,3295634
3000,10000,31579,3393638
3000,10000,4293,3239450
3000,10000,11290,3577672
3000,10000,4627,2953269
3000,10000,6194,3237997
3000,10000,32229,3527611
3000,10000,17416,3443193
3000,10000,11674,3735925
3000,10000,6116,3591410
