numColumn,threshold,seed,time
1024,1,3583,741
1024,1,803,742
1024,1,6237,686
1024,1,15474,691
1024,1,8157,741
1024,1,21965,673
1024,1,26071,810
1024,1,26841,743
1024,1,11362,769
1024,1,2635,852
1024,1,3180,597
1024,1,12837,661
1024,1,32153,713
1024,1,25237,711
1024,1,9739,693
1024,1,27418,707
1024,1,31110,758
1024,1,20902,718
1024,1,10889,852
1024,1,31174,781
1024,1,17746,806
1024,10,3583,758
1024,10,803,791
1024,10,6237,878
1024,10,15474,758
1024,10,8157,754
1024,10,21965,716
1024,10,26071,672
1024,10,26841,803
1024,10,11362,707
1024,10,2635,765
1024,10,3180,654
1024,10,12837,671
1024,10,32153,732
1024,10,25237,724
1024,10,9739,720
1024,10,27418,726
1024,10,31110,777
1024,10,20902,742
1024,10,10889,693
1024,10,31174,687
1024,10,17746,714
1024,100,3583,841
1024,100,803,918
1024,100,6237,791
1024,100,15474,831
1024,100,8157,957
1024,100,21965,886
1024,100,26071,829
1024,100,26841,929
1024,100,11362,827
1024,100,2635,858
1024,100,3180,676
1024,100,12837,755
1024,100,32153,879
1024,100,25237,905
1024,100,9739,1063
1024,100,27418,1093
1024,100,31110,1168
1024,100,20902,846
1024,100,10889,837
1024,100,31174,747
1024,100,17746,857
1024,1000,3583,820
1024,1000,803,912
1024,1000,6237,749
1024,1000,15474,816
1024,1000,8157,910
1024,1000,21965,772
1024,1000,26071,742
1024,1000,26841,933
1024,1000,11362,847
1024,1000,2635,1082
1024,1000,3180,754
1024,1000,12837,812
1024,1000,32153,975
1024,1000,25237,1064
1024,1000,9739,912
1024,1000,27418,924
1024,1000,31110,1006
1024,1000,20902,853
1024,1000,10889,751
1024,1000,31174,734
1024,1000,17746,852
1024,10000,3583,729
1024,10000,803,826
1024,10000,6237,693
1024,10000,15474,709
1024,10000,8157,802
1024,10000,21965,693
1024,10000,26071,689
1024,10000,26841,784
1024,10000,11362,905
1024,10000,2635,966
1024,10000,3180,686
1024,10000,12837,665
1024,10000,32153,747
1024,10000,25237,766
1024,10000,9739,730
1024,10000,27418,845
1024,10000,31110,878
1024,10000,20902,785
1024,10000,10889,745
1024,10000,31174,821
1024,10000,17746,767
1024,100000,3583,655
1024,100000,803,676
1024,100000,6237,628
1024,100000,15474,642
1024,100000,8157,696
1024,100000,21965,647
1024,100000,26071,641
1024,100000,26841,698
1024,100000,11362,659
1024,100000,2635,662
1024,100000,3180,560
1024,100000,12837,637
1024,100000,32153,667
1024,100000,25237,655
1024,100000,9739,666
1024,100000,27418,669
1024,100000,31110,685
1024,100000,20902,664
1024,100000,10889,660
1024,100000,31174,610
1024,100000,17746,654
1024,1e+06,3583,640
1024,1e+06,803,654
1024,1e+06,6237,628
1024,1e+06,15474,633
1024,1e+06,8157,641
1024,1e+06,21965,622
1024,1e+06,26071,597
1024,1e+06,26841,673
1024,1e+06,11362,642
1024,1e+06,2635,635
1024,1e+06,3180,550
1024,1e+06,12837,620
1024,1e+06,32153,631
1024,1e+06,25237,649
1024,1e+06,9739,651
1024,1e+06,27418,636
1024,1e+06,31110,662
1024,1e+06,20902,655
1024,1e+06,10889,609
1024,1e+06,31174,583
1024,1e+06,17746,619
1024,1e+07,3583,637
1024,1e+07,803,659
1024,1e+07,6237,628
1024,1e+07,15474,643
1024,1e+07,8157,645
1024,1e+07,21965,602
1024,1e+07,26071,609
1024,1e+07,26841,665
1024,1e+07,11362,638
1024,1e+07,2635,632
1024,1e+07,3180,573
1024,1e+07,12837,608
1024,1e+07,32153,646
1024,1e+07,25237,660
1024,1e+07,9739,634
1024,1e+07,27418,626
1024,1e+07,31110,679
1024,1e+07,20902,633
1024,1e+07,10889,600
1024,1e+07,31174,589
1024,1e+07,17746,620
