numColumn,threshold,factor,seed,auc
1024,100000,0,14160,0.890822
1024,100000,0,2421,0.888085
1024,100000,0,32505,0.890820
1024,100000,0,6855,0.888085
1024,100000,0,20929,0.895454
1024,100000,0,20308,0.888085
1024,100000,0,27141,0.888085
1024,100000,0,12003,0.890820
1024,100000,0,29669,0.903807
1024,100000,0,12991,0.903807
1024,100000,0,12926,0.888085
1024,100000,0.2,14160,0.952802
1024,100000,0.2,2421,0.950791
1024,100000,0.2,32505,0.952790
1024,100000,0.2,6855,0.950791
1024,100000,0.2,20929,0.955388
1024,100000,0.2,20308,0.950791
1024,100000,0.2,27141,0.950791
1024,100000,0.2,12003,0.952790
1024,100000,0.2,29669,0.952659
1024,100000,0.2,12991,0.952659
1024,100000,0.2,12926,0.950791
1024,100000,0.4,14160,0.980125
1024,100000,0.4,2421,0.979504
1024,100000,0.4,32505,0.980120
1024,100000,0.4,6855,0.979504
1024,100000,0.4,20929,0.981172
1024,100000,0.4,20308,0.979504
1024,100000,0.4,27141,0.979504
1024,100000,0.4,12003,0.980120
1024,100000,0.4,29669,0.978600
1024,100000,0.4,12991,0.978600
1024,100000,0.4,12926,0.979504
1024,100000,0.6,14160,0.990674
1024,100000,0.6,2421,0.990449
1024,100000,0.6,32505,0.990672
1024,100000,0.6,6855,0.990449
1024,100000,0.6,20929,0.991009
1024,100000,0.6,20308,0.990449
1024,100000,0.6,27141,0.990449
1024,100000,0.6,12003,0.990672
1024,100000,0.6,29669,0.990770
1024,100000,0.6,12991,0.990770
1024,100000,0.6,12926,0.990449
1024,100000,0.8,14160,0.996312
1024,100000,0.8,2421,0.996313
1024,100000,0.8,32505,0.996313
1024,100000,0.8,6855,0.996313
1024,100000,0.8,20929,0.996312
1024,100000,0.8,20308,0.996313
1024,100000,0.8,27141,0.996313
1024,100000,0.8,12003,0.996313
1024,100000,0.8,29669,0.995547
1024,100000,0.8,12991,0.995547
1024,100000,0.8,12926,0.996313
1024,100000,0.9,14160,0.996792
1024,100000,0.9,2421,0.996794
1024,100000,0.9,32505,0.996794
1024,100000,0.9,6855,0.996794
1024,100000,0.9,20929,0.996794
1024,100000,0.9,20308,0.996794
1024,100000,0.9,27141,0.996794
1024,100000,0.9,12003,0.996794
1024,100000,0.9,29669,0.996710
1024,100000,0.9,12991,0.996710
1024,100000,0.9,12926,0.996794
1024,100000,0.99,14160,0.995838
1024,100000,0.99,2421,0.995804
1024,100000,0.99,32505,0.995840
1024,100000,0.99,6855,0.995804
1024,100000,0.99,20929,0.995840
1024,100000,0.99,20308,0.995840
1024,100000,0.99,27141,0.995804
1024,100000,0.99,12003,0.995840
1024,100000,0.99,29669,0.993765
1024,100000,0.99,12991,0.993765
