numColumn,threshold,factor,seed,auc
1024,10000,0,17729,0.931724
1024,10000,0,19485,0.931673
1024,10000,0,28316,0.949950
1024,10000,0,28121,0.949950
1024,10000,0,22567,0.950067
1024,10000,0,19616,0.949947
1024,10000,0,21178,0.949322
1024,10000,0,23755,0.950069
1024,10000,0,21669,0.949950
1024,10000,0,10593,0.950079
1024,10000,0,15105,0.949882
1024,10000,0.2,17729,0.962514
1024,10000,0.2,19485,0.962734
1024,10000,0.2,28316,0.966610
1024,10000,0.2,28121,0.966612
1024,10000,0.2,22567,0.966671
1024,10000,0.2,19616,0.966609
1024,10000,0.2,21178,0.966321
1024,10000,0.2,23755,0.966670
1024,10000,0.2,21669,0.966612
1024,10000,0.2,10593,0.966671
1024,10000,0.2,15105,0.966569
1024,10000,0.4,17729,0.972252
1024,10000,0.4,19485,0.972978
1024,10000,0.4,28316,0.972660
1024,10000,0.4,28121,0.972661
1024,10000,0.4,22567,0.972699
1024,10000,0.4,19616,0.972659
1024,10000,0.4,21178,0.972492
1024,10000,0.4,23755,0.972698
1024,10000,0.4,21669,0.972661
1024,10000,0.4,10593,0.972700
1024,10000,0.4,15105,0.972624
1024,10000,0.6,17729,0.984971
1024,10000,0.6,19485,0.986080
1024,10000,0.6,28316,0.985224
1024,10000,0.6,28121,0.985226
1024,10000,0.6,22567,0.985253
1024,10000,0.6,19616,0.985223
1024,10000,0.6,21178,0.985148
1024,10000,0.6,23755,0.985250
1024,10000,0.6,21669,0.985226
1024,10000,0.6,10593,0.985249
1024,10000,0.6,15105,0.985180
1024,10000,0.8,17729,0.988516
1024,10000,0.8,19485,0.989465
1024,10000,0.8,28316,0.988785
1024,10000,0.8,28121,0.988787
1024,10000,0.8,22567,0.988800
1024,10000,0.8,19616,0.988785
1024,10000,0.8,21178,0.988892
1024,10000,0.8,23755,0.988798
1024,10000,0.8,21669,0.988787
1024,10000,0.8,10593,0.988794
1024,10000,0.8,15105,0.988766
1024,10000,0.9,17729,0.991028
1024,10000,0.9,19485,0.991923
1024,10000,0.9,28316,0.986013
1024,10000,0.9,28121,0.986014
1024,10000,0.9,22567,0.986022
1024,10000,0.9,19616,0.986013
1024,10000,0.9,21178,0.991057
1024,10000,0.9,23755,0.986021
1024,10000,0.9,21669,0.986014
1024,10000,0.9,10593,0.986021
1024,10000,0.9,15105,0.985989
1024,10000,0.99,17729,0.988772
1024,10000,0.99,19485,0.991134
1024,10000,0.99,28316,0.988927
1024,10000,0.99,28121,0.988928
1024,10000,0.99,22567,0.988936
1024,10000,0.99,19616,0.988926
1024,10000,0.99,21178,0.988636
1024,10000,0.99,23755,0.988935
1024,10000,0.99,21669,0.988928
1024,10000,0.99,10593,0.988935
1024,10000,0.99,15105,0.988919
1024,10000,0.992,17729,0.983738
1024,10000,0.992,19485,0.988875
1024,10000,0.992,28316,0.983544
1024,10000,0.992,28121,0.983545
1024,10000,0.992,22567,0.983552
1024,10000,0.992,19616,0.983542
1024,10000,0.992,21178,0.983259
1024,10000,0.992,23755,0.983552
1024,10000,0.992,21669,0.983545
1024,10000,0.992,10593,0.983552
1024,10000,0.992,15105,0.983535
1024,10000,0.994,17729,0.980947
1024,10000,0.994,19485,0.988325
1024,10000,0.994,28316,0.980671
1024,10000,0.994,28121,0.980672
1024,10000,0.994,22567,0.980679
1024,10000,0.994,19616,0.980669
1024,10000,0.994,21178,0.980413
1024,10000,0.994,23755,0.980680
1024,10000,0.994,21669,0.980672
1024,10000,0.994,10593,0.980680
1024,10000,0.994,15105,0.980662
1024,10000,0.996,17729,0.971883
1024,10000,0.996,19485,0.987739
1024,10000,0.996,28316,0.971208
1024,10000,0.996,28121,0.971209
1024,10000,0.996,22567,0.971218
1024,10000,0.996,19616,0.971206
1024,10000,0.996,21178,0.970930
1024,10000,0.996,23755,0.971219
1024,10000,0.996,21669,0.971209
1024,10000,0.996,10593,0.971219
1024,10000,0.996,15105,0.971197
1024,10000,0.998,17729,0.927245
1024,10000,0.998,19485,0.986426
1024,10000,0.998,28316,0.925398
1024,10000,0.998,28121,0.925400
1024,10000,0.998,22567,0.925412
1024,10000,0.998,19616,0.925397
1024,10000,0.998,21178,0.924726
1024,10000,0.998,23755,0.925414
1024,10000,0.998,21669,0.925400
1024,10000,0.998,10593,0.925414
1024,10000,0.998,15105,0.925385
1024,10000,0.999,17729,0.881595
1024,10000,0.999,19485,0.985592
1024,10000,0.999,28316,0.878308
1024,10000,0.999,28121,0.878314
1024,10000,0.999,22567,0.878334
1024,10000,0.999,19616,0.878306
1024,10000,0.999,21178,0.877242
1024,10000,0.999,23755,0.878334
1024,10000,0.999,21669,0.878314
1024,10000,0.999,10593,0.878338
1024,10000,0.999,15105,0.878293
1024,10000,0.9992,17729,0.872801
1024,10000,0.9992,19485,0.984846
1024,10000,0.9992,28316,0.869008
1024,10000,0.9992,28121,0.869014
1024,10000,0.9992,22567,0.869037
1024,10000,0.9992,19616,0.869004
1024,10000,0.9992,21178,0.867658
1024,10000,0.9992,23755,0.869037
1024,10000,0.9992,21669,0.869014
1024,10000,0.9992,10593,0.869041
1024,10000,0.9992,15105,0.868990
1024,10000,0.9994,17729,0.964672
1024,10000,0.9994,19485,0.983612
1024,10000,0.9994,28316,0.958331
1024,10000,0.9994,28121,0.958334
1024,10000,0.9994,22567,0.958344
1024,10000,0.9994,19616,0.958329
1024,10000,0.9994,21178,0.957842
1024,10000,0.9994,23755,0.958343
1024,10000,0.9994,21669,0.958334
1024,10000,0.9994,10593,0.958345
1024,10000,0.9994,15105,0.958324
1024,10000,0.9996,17729,0.953951
1024,10000,0.9996,19485,0.981288
1024,10000,0.9996,28316,0.946089
1024,10000,0.9996,28121,0.946093
1024,10000,0.9996,22567,0.946104
1024,10000,0.9996,19616,0.946088
1024,10000,0.9996,21178,0.945403
1024,10000,0.9996,23755,0.946104
1024,10000,0.9996,21669,0.946093
1024,10000,0.9996,10593,0.946105
1024,10000,0.9996,15105,0.946082
1024,10000,0.9998,17729,0.924312
1024,10000,0.9998,19485,0.975033
1024,10000,0.9998,28316,0.911475
1024,10000,0.9998,28121,0.911479
1024,10000,0.9998,22567,0.911495
1024,10000,0.9998,19616,0.911473
1024,10000,0.9998,21178,0.910221
1024,10000,0.9998,23755,0.911495
1024,10000,0.9998,21669,0.911479
1024,10000,0.9998,10593,0.911497
1024,10000,0.9998,15105,0.911465
1024,10000,1,17729,0.808648
1024,10000,1,19485,0.915052
1024,10000,1,28316,0.757541
1024,10000,1,28121,0.757551
1024,10000,1,22567,0.757596
1024,10000,1,19616,0.757536
1024,10000,1,21178,0.750249
1024,10000,1,23755,0.757598
1024,10000,1,21669,0.757551
1024,10000,1,10593,0.757605
1024,10000,1,15105,0.757513
