numColumn,threshold,seed,auc
1024,1,331,0.971142
1024,1,10526,0.972288
1024,1,6546,0.972051
1024,1,1821,0.971628
1024,1,23993,0.971628
1024,1,10334,0.971627
1024,1,6262,0.971619
1024,1,26054,0.971606
1024,1,15355,0.971550
1024,1,31263,0.972051
1024,1,19423,0.971606
1024,1,1735,0.971619
1024,1,1929,0.972026
1024,1,27400,0.971640
1024,1,24745,0.972109
1024,1,27416,0.972187
1024,1,26309,0.972138
1024,1,19460,0.972290
1024,1,22501,0.971606
1024,1,29722,0.971642
1024,1,18398,0.971748
1024,10,331,0.971175
1024,10,10526,0.972320
1024,10,6546,0.972082
1024,10,1821,0.971659
1024,10,23993,0.971659
1024,10,10334,0.971658
1024,10,6262,0.971650
1024,10,26054,0.971637
1024,10,15355,0.971582
1024,10,31263,0.972082
1024,10,19423,0.971637
1024,10,1735,0.971651
1024,10,1929,0.972057
1024,10,27400,0.971671
1024,10,24745,0.972140
1024,10,27416,0.972220
1024,10,26309,0.972169
1024,10,19460,0.972322
1024,10,22501,0.971637
1024,10,29722,0.971674
1024,10,18398,0.971779
1024,100,331,0.970885
1024,100,10526,0.972054
1024,100,6546,0.971821
1024,100,1821,0.971398
1024,100,23993,0.971398
1024,100,10334,0.971397
1024,100,6262,0.971390
1024,100,26054,0.971376
1024,100,15355,0.971313
1024,100,31263,0.971821
1024,100,19423,0.971376
1024,100,1735,0.971390
1024,100,1929,0.971788
1024,100,27400,0.971410
1024,100,24745,0.971871
1024,100,27416,0.971938
1024,100,26309,0.971908
1024,100,19460,0.972055
1024,100,22501,0.971376
1024,100,29722,0.971413
1024,100,18398,0.971516
1024,1000,331,0.971440
1024,1000,10526,0.973026
1024,1000,6546,0.972484
1024,1000,1821,0.972071
1024,1000,23993,0.972071
1024,1000,10334,0.972070
1024,1000,6262,0.972063
1024,1000,26054,0.972048
1024,1000,15355,0.972058
1024,1000,31263,0.972484
1024,1000,19423,0.972048
1024,1000,1735,0.972064
1024,1000,1929,0.972524
1024,1000,27400,0.972084
1024,1000,24745,0.972610
1024,1000,27416,0.972995
1024,1000,26309,0.972574
1024,1000,19460,0.973028
1024,1000,22501,0.972048
1024,1000,29722,0.972087
1024,1000,18398,0.972182
1024,10000,331,0.976371
1024,10000,10526,0.983535
1024,10000,6546,0.981506
1024,10000,1821,0.982302
1024,10000,23993,0.982302
1024,10000,10334,0.982301
1024,10000,6262,0.982295
1024,10000,26054,0.982263
1024,10000,15355,0.982139
1024,10000,31263,0.981503
1024,10000,19423,0.982263
1024,10000,1735,0.982297
1024,10000,1929,0.981387
1024,10000,27400,0.982336
1024,10000,24745,0.981595
1024,10000,27416,0.978451
1024,10000,26309,0.981680
1024,10000,19460,0.983535
1024,10000,22501,0.982263
1024,10000,29722,0.982336
1024,10000,18398,0.980157
1024,100000,331,0.960728
1024,100000,10526,0.968375
1024,100000,6546,0.968341
1024,100000,1821,0.968091
1024,100000,23993,0.968091
1024,100000,10334,0.968091
1024,100000,6262,0.968090
1024,100000,26054,0.968091
1024,100000,15355,0.962839
1024,100000,31263,0.968342
1024,100000,19423,0.968091
1024,100000,1735,0.968090
1024,100000,1929,0.963384
1024,100000,27400,0.968091
1024,100000,24745,0.963385
1024,100000,27416,0.961485
1024,100000,26309,0.968342
1024,100000,19460,0.968375
1024,100000,22501,0.968091
1024,100000,29722,0.968091
1024,100000,18398,0.964752
1024,1e+06,331,0.965938
1024,1e+06,10526,0.970122
1024,1e+06,6546,0.971227
1024,1e+06,1821,0.969792
1024,1e+06,23993,0.969792
1024,1e+06,10334,0.969792
1024,1e+06,6262,0.969792
1024,1e+06,26054,0.969792
1024,1e+06,15355,0.965914
1024,1e+06,31263,0.971227
1024,1e+06,19423,0.969792
1024,1e+06,1735,0.969792
1024,1e+06,1929,0.967942
1024,1e+06,27400,0.969792
1024,1e+06,24745,0.967942
1024,1e+06,27416,0.966408
1024,1e+06,26309,0.971227
1024,1e+06,19460,0.970122
1024,1e+06,22501,0.969792
1024,1e+06,29722,0.969792
1024,1e+06,18398,0.973819
1024,1e+07,331,0.917914
1024,1e+07,10526,0.916981
1024,1e+07,6546,0.920281
1024,1e+07,1821,0.916076
1024,1e+07,23993,0.916076
1024,1e+07,10334,0.916076
1024,1e+07,6262,0.916076
1024,1e+07,26054,0.916076
1024,1e+07,15355,0.917803
1024,1e+07,31263,0.920281
1024,1e+07,19423,0.916076
1024,1e+07,1735,0.916076
1024,1e+07,1929,0.923004
1024,1e+07,27400,0.916076
1024,1e+07,24745,0.923004
1024,1e+07,27416,0.918963
1024,1e+07,26309,0.920281
1024,1e+07,19460,0.916981
1024,1e+07,22501,0.916076
1024,1e+07,29722,0.916076
1024,1e+07,18398,0.928192
