numColumn,threshold,seed,time
1024,1,11684,241
1024,1,4469,250
1024,1,278,247
1024,1,29925,232
1024,1,21904,186
1024,1,12989,188
1024,1,17244,208
1024,1,26619,238
1024,1,18907,243
1024,1,31600,245
1024,1,19911,215
1024,1,7025,215
1024,1,13974,196
1024,1,8747,243
1024,1,3084,185
1024,1,23929,236
1024,1,15670,236
1024,1,24162,236
1024,1,17510,242
1024,1,21941,244
1024,1,14312,192
1024,10,11684,238
1024,10,4469,256
1024,10,278,254
1024,10,29925,237
1024,10,21904,196
1024,10,12989,196
1024,10,17244,217
1024,10,26619,247
1024,10,18907,255
1024,10,31600,255
1024,10,19911,219
1024,10,7025,223
1024,10,13974,206
1024,10,8747,270
1024,10,3084,193
1024,10,23929,246
1024,10,15670,246
1024,10,24162,239
1024,10,17510,256
1024,10,21941,255
1024,10,14312,200
1024,100,11684,326
1024,100,4469,400
1024,100,278,401
1024,100,29925,325
1024,100,21904,273
1024,100,12989,249
1024,100,17244,315
1024,100,26619,372
1024,100,18907,408
1024,100,31600,404
1024,100,19911,319
1024,100,7025,318
1024,100,13974,290
1024,100,8747,401
1024,100,3084,244
1024,100,23929,363
1024,100,15670,362
1024,100,24162,325
1024,100,17510,407
1024,100,21941,440
1024,100,14312,318
1024,1000,11684,257
1024,1000,4469,411
1024,1000,278,412
1024,1000,29925,259
1024,1000,21904,264
1024,1000,12989,222
1024,1000,17244,288
1024,1000,26619,367
1024,1000,18907,402
1024,1000,31600,421
1024,1000,19911,291
1024,1000,7025,336
1024,1000,13974,280
1024,1000,8747,402
1024,1000,3084,190
1024,1000,23929,327
1024,1000,15670,333
1024,1000,24162,245
1024,1000,17510,400
1024,1000,21941,396
1024,1000,14312,274
1024,10000,11684,186
1024,10000,4469,263
1024,10000,278,262
1024,10000,29925,186
1024,10000,21904,194
1024,10000,12989,161
1024,10000,17244,208
1024,10000,26619,233
1024,10000,18907,262
1024,10000,31600,263
1024,10000,19911,211
1024,10000,7025,213
1024,10000,13974,200
1024,10000,8747,263
1024,10000,3084,159
1024,10000,23929,230
1024,10000,15670,232
1024,10000,24162,189
1024,10000,17510,268
1024,10000,21941,264
1024,10000,14312,202
1024,100000,11684,172
1024,100000,4469,206
1024,100000,278,207
1024,100000,29925,172
1024,100000,21904,169
1024,100000,12989,152
1024,100000,17244,175
1024,100000,26619,196
1024,100000,18907,206
1024,100000,31600,208
1024,100000,19911,179
1024,100000,7025,179
1024,100000,13974,172
1024,100000,8747,207
1024,100000,3084,149
1024,100000,23929,191
1024,100000,15670,190
1024,100000,24162,172
1024,100000,17510,208
1024,100000,21941,207
1024,100000,14312,170
1024,1e+06,11684,175
1024,1e+06,4469,205
1024,1e+06,278,206
1024,1e+06,29925,173
1024,1e+06,21904,163
1024,1e+06,12989,152
1024,1e+06,17244,172
1024,1e+06,26619,191
1024,1e+06,18907,202
1024,1e+06,31600,201
1024,1e+06,19911,176
1024,1e+06,7025,177
1024,1e+06,13974,168
1024,1e+06,8747,202
1024,1e+06,3084,150
1024,1e+06,23929,187
1024,1e+06,15670,186
1024,1e+06,24162,171
1024,1e+06,17510,206
1024,1e+06,21941,203
1024,1e+06,14312,169
1024,1e+07,11684,171
1024,1e+07,4469,203
1024,1e+07,278,200
1024,1e+07,29925,172
1024,1e+07,21904,163
1024,1e+07,12989,153
1024,1e+07,17244,173
1024,1e+07,26619,193
1024,1e+07,18907,205
1024,1e+07,31600,205
1024,1e+07,19911,175
1024,1e+07,7025,176
1024,1e+07,13974,167
1024,1e+07,8747,201
1024,1e+07,3084,150
1024,1e+07,23929,186
1024,1e+07,15670,186
1024,1e+07,24162,171
1024,1e+07,17510,201
1024,1e+07,21941,200
1024,1e+07,14312,168
